C:\Documents and Settings\Wintest\Desktop\runs\190813 Anna\15% v20_20%.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","V        ","%        ",
       1,         0.0000,      0.0000,   0.005,    -0.03,     0.00,     0.00,     0.00,     -0.025,      -0.25,
       2,         0.0334,      0.0334,   0.055,     0.01,     0.00,     0.00,     0.00,      0.009,       0.09,
       3,         0.0668,      0.0668,   0.169,     0.06,     0.00,     0.00,     0.00,      0.246,       2.46,
       4,         0.1002,      0.1002,   0.158,     0.08,     0.00,     0.00,     0.00,      0.243,       2.43,
       5,         0.1336,      0.1336,   0.156,     0.03,     0.00,     0.00,     0.00,      0.234,       2.34,
       6,         0.1670,      0.1670,   0.149,     0.03,     0.00,     0.00,     0.00,      0.220,       2.20,
       7,         0.2004,      0.2004,   0.137,     0.01,     0.00,     0.00,     0.00,      0.202,      -0.09,
       8,         0.2338,      0.2338,   0.125,     0.03,     0.00,     0.00,     0.00,      0.181,      -0.11,
       9,         0.2672,      0.2672,   0.108,     0.01,     0.00,     0.00,     0.00,      0.157,      -0.10,
      10,         0.3006,      0.3006,   0.094,     0.01,     0.00,     0.00,     0.00,      0.131,      -0.13,
      11,         0.3340,      0.3340,   0.075,     0.00,     0.00,     0.00,     0.00,      0.106,      -0.10,
      12,         0.3674,      0.3674,   0.058,     0.00,     0.00,     0.00,     0.00,      0.081,      -0.09,
      13,         0.4008,      0.4008,   0.044,    -0.02,     0.00,     0.00,     0.00,      0.057,      -0.10,
      14,         0.4342,      0.4342,   0.030,    -0.01,     0.00,     0.00,     0.00,      0.037,      -0.09,
      15,         0.4676,      0.4676,   0.016,    -0.01,     0.00,     0.00,     0.00,      0.021,      -0.03,
      16,         0.5010,      0.5010,   0.008,    -0.03,     0.00,     0.00,     0.00,      0.009,      -0.04,
      17,         0.5344,      0.5344,   0.003,    -0.03,     0.00,     0.00,     0.00,      0.002,      -0.02,
      18,         0.5678,      0.5678,   0.000,    -0.02,     0.00,     0.00,     0.00,      0.000,       0.00,
      19,         0.6012,      0.6012,   0.000,    -0.03,     0.00,     0.00,     0.00,      0.004,       0.03,
      20,         0.6346,      0.6346,   0.003,    -0.01,     0.00,     0.00,     0.00,      0.012,       0.07,
      21,         0.6680,      0.6680,   0.008,    -0.02,     0.00,     0.00,     0.00,      0.025,       0.13,
      22,         0.7014,      0.7014,   0.019,    -0.01,     0.00,     0.00,     0.00,      0.042,       0.13,
      23,         0.7348,      0.7348,   0.035,     0.01,     0.00,     0.00,     0.00,      0.062,       0.09,
      24,         0.7682,      0.7682,   0.049,     0.01,     0.00,     0.00,     0.00,      0.085,       0.10,
      25,         0.8016,      0.8016,   0.063,     0.01,     0.00,     0.00,     0.00,      0.108,       0.11,
      26,         0.8350,      0.8350,   0.079,     0.00,     0.00,     0.00,     0.00,      0.132,       0.11,
      27,         0.8684,      0.8684,   0.095,     0.02,     0.00,     0.00,     0.00,      0.156,       0.09,
      28,         0.9018,      0.9018,   0.110,     0.02,     0.00,     0.00,     0.00,      0.177,       0.09,
      29,         0.9352,      0.9352,   0.123,     0.02,     0.00,     0.00,     0.00,      0.196,       0.07,
      30,         0.9686,      0.9686,   0.134,     0.05,     0.00,     0.00,     0.00,      0.211,       0.06,
      31,         1.0020,      1.0020,   0.142,     0.05,     0.00,     0.00,     0.00,      0.222,       0.05,
      32,         1.0354,      1.0354,   0.147,     0.03,     0.00,     0.00,     0.00,      0.229,       0.02,
      33,         1.0688,      1.0688,   0.150,     0.06,     0.00,     0.00,     0.00,      0.230,       0.00,
      34,         1.1022,      1.1022,   0.151,     0.03,     0.00,     0.00,     0.00,      0.227,      -0.05,
