C:\Documents and Settings\Wintest\Desktop\runs\190813 Anna\20190828 v20,10-2-reissen.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","V        ","%        ",
       1,         0.0000,      0.0000,   0.002,    -0.01,     0.00,     0.00,     0.00,     -0.005,      -0.05,
       2,         0.0250,      0.0250,   0.036,     0.01,     0.00,     0.00,     0.00,      0.019,       0.19,
       3,         0.0500,      0.0500,   0.143,     0.02,     0.00,     0.00,     0.00,      0.044,       0.44,
       4,         0.0750,      0.0750,   0.155,     0.04,     0.00,     0.00,     0.00,      0.245,       2.45,
       5,         0.1000,      0.1000,   0.150,     0.03,     0.00,     0.00,     0.00,      0.241,       2.41,
       6,         0.1250,      0.1250,   0.155,     0.06,     0.00,     0.00,     0.00,      0.235,       2.35,
       7,         0.1500,      0.1500,   0.150,     0.03,     0.00,     0.00,     0.00,      0.225,       2.25,
       8,         0.1750,      0.1750,   0.141,     0.00,     0.00,     0.00,     0.00,      0.213,       2.13,
       9,         0.2000,      0.2000,   0.135,     0.02,     0.00,     0.00,     0.00,      0.199,      -0.09,
      10,         0.2250,      0.2250,   0.125,     0.05,     0.00,     0.00,     0.00,      0.183,      -0.09,
      11,         0.2500,      0.2500,   0.113,     0.01,     0.00,     0.00,     0.00,      0.165,      -0.08,
      12,         0.2750,      0.2750,   0.102,     0.00,     0.00,     0.00,     0.00,      0.146,      -0.10,
      13,         0.3000,      0.3000,   0.089,     0.01,     0.00,     0.00,     0.00,      0.127,      -0.10,
      14,         0.3250,      0.3250,   0.076,     0.03,     0.00,     0.00,     0.00,      0.108,      -0.09,
      15,         0.3500,      0.3500,   0.065,    -0.02,     0.00,     0.00,     0.00,      0.089,      -0.11,
      16,         0.3750,      0.3750,   0.053,     0.01,     0.00,     0.00,     0.00,      0.071,      -0.11,
      17,         0.4000,      0.4000,   0.041,     0.01,     0.00,     0.00,     0.00,      0.054,      -0.08,
      18,         0.4250,      0.4250,   0.031,     0.01,     0.00,     0.00,     0.00,      0.039,      -0.08,
      19,         0.4500,      0.4500,   0.023,    -0.03,     0.00,     0.00,     0.00,      0.026,      -0.09,
      20,         0.4750,      0.4750,   0.013,    -0.01,     0.00,     0.00,     0.00,      0.015,      -0.05,
      21,         0.5000,      0.5000,   0.008,     0.00,     0.00,     0.00,     0.00,      0.007,      -0.04,
      22,         0.5250,      0.5250,   0.002,    -0.02,     0.00,     0.00,     0.00,      0.002,      -0.02,
      23,         0.5500,      0.5500,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,      -0.01,
      24,         0.5750,      0.5750,   0.001,    -0.01,     0.00,     0.00,     0.00,      0.000,      -0.01,
      25,         0.6000,      0.6000,   0.000,     0.01,     0.00,     0.00,     0.00,      0.002,       0.01,
      26,         0.6250,      0.6250,   0.001,     0.01,     0.00,     0.00,     0.00,      0.004,       0.02,
      27,         0.6500,      0.6500,   0.004,    -0.01,     0.00,     0.00,     0.00,      0.007,       0.01,
      28,         0.6750,      0.6750,   0.005,    -0.01,     0.00,     0.00,     0.00,      0.011,       0.03,
      29,         0.7000,      0.7000,   0.009,     0.01,     0.00,     0.00,     0.00,      0.016,       0.02,
      30,         0.7250,      0.7250,   0.011,     0.00,     0.00,     0.00,     0.00,      0.022,       0.05,
      31,         0.7500,      0.7500,   0.016,    -0.01,     0.00,     0.00,     0.00,      0.029,       0.04,
      32,         0.7750,      0.7750,   0.021,    -0.01,     0.00,     0.00,     0.00,      0.037,       0.05,
      33,         0.8000,      0.8000,   0.025,     0.01,     0.00,     0.00,     0.00,      0.045,       0.07,
      34,         0.8250,      0.8250,   0.032,     0.00,     0.00,     0.00,     0.00,      0.055,       0.06,
      35,         0.8500,      0.8500,   0.040,    -0.01,     0.00,     0.00,     0.00,      0.066,       0.05,
      36,         0.8750,      0.8750,   0.045,     0.01,     0.00,     0.00,     0.00,      0.077,       0.08,
      37,         0.9000,      0.9000,   0.054,    -0.01,     0.00,     0.00,     0.00,      0.090,       0.06,
      38,         0.9250,      0.9250,   0.063,     0.04,     0.00,     0.00,     0.00,      0.103,       0.07,
      39,         0.9500,      0.9500,   0.071,     0.01,     0.00,     0.00,     0.00,      0.117,       0.09,
      40,         0.9750,      0.9750,   0.082,     0.01,     0.00,     0.00,     0.00,      0.133,       0.08,
      41,         1.0000,      1.0000,   0.092,     0.03,     0.00,     0.00,     0.00,      0.149,       0.08,
