C:\Documents and Settings\Wintest\Desktop\runs\190813 Anna\20190828 v40-3-reissen2.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","mm       ","%        ",
       1,         0.0000,      0.0000,  -0.072,     0.01,     0.00,     0.00,     0.00,     -0.017,      -0.26,
       2,         0.0250,      0.0250,  -0.056,     0.03,     0.00,     0.00,     0.00,     -0.009,      -0.13,
       3,         0.0500,      0.0500,  -0.006,     0.08,     0.00,     0.00,     0.00,     -0.000,      -0.01,
       4,         0.0750,      0.0750,  -0.004,     0.08,     0.00,     0.00,     0.00,     -0.006,      -0.09,
       5,         0.1000,      0.1000,  -0.055,     0.01,     0.00,     0.00,     0.00,     -0.006,      -0.09,
       6,         0.1250,      0.1250,  -0.024,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
       7,         0.1500,      0.1500,  -0.012,     0.06,     0.00,     0.00,     0.00,     -0.006,      -0.09,
       8,         0.1750,      0.1750,  -0.047,     0.02,     0.00,     0.00,     0.00,     -0.006,      -0.09,
       9,         0.2000,      0.2000,  -0.021,     0.04,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      10,         0.2250,      0.2250,  -0.021,     0.05,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      11,         0.2500,      0.2500,  -0.039,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      12,         0.2750,      0.2750,  -0.022,     0.06,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      13,         0.3000,      0.3000,  -0.027,     0.05,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      14,         0.3250,      0.3250,  -0.031,     0.02,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      15,         0.3500,      0.3500,  -0.025,     0.04,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      16,         0.3750,      0.3750,  -0.029,     0.05,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      17,         0.4000,      0.4000,  -0.027,     0.06,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      18,         0.4250,      0.4250,  -0.028,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      19,         0.4500,      0.4500,  -0.028,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      20,         0.4750,      0.4750,  -0.026,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      21,         0.5000,      0.5000,  -0.029,     0.04,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      22,         0.5250,      0.5250,  -0.028,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
      23,         0.5500,      0.5500,  -0.027,     0.03,     0.00,     0.00,     0.00,     -0.006,      -0.09,
