C:\Documents and Settings\Wintest\Desktop\runs\201222Anna\20RGD-4.1.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","V        ","%        ",
       1,         0.0000,      0.0000,  -0.002,     0.02,     0.00,     0.00,     0.00,     -0.080,      -0.80,
       2,         0.0250,      0.0250,   0.019,     0.02,     0.00,     0.00,     0.00,     -0.055,      -0.55,
       3,         0.0500,      0.0500,   0.041,     0.02,     0.00,     0.00,     0.00,     -0.030,      -0.30,
       4,         0.0750,      0.0750,   0.078,     0.02,     0.00,     0.00,     0.00,     -0.005,      -0.05,
       5,         0.1000,      0.1000,   0.106,     0.03,     0.00,     0.00,     0.00,      0.020,       0.20,
       6,         0.1250,      0.1250,   0.143,     0.03,     0.00,     0.00,     0.00,      0.045,       0.45,
       7,         0.1500,      0.1500,   0.163,     0.04,     0.00,     0.00,     0.00,      0.246,       2.46,
       8,         0.1750,      0.1750,   0.162,     0.03,     0.00,     0.00,     0.00,      0.246,       2.46,
       9,         0.2000,      0.2000,   0.161,     0.03,     0.00,     0.00,     0.00,      0.246,       2.46,
      10,         0.2250,      0.2250,   0.161,     0.01,     0.00,     0.00,     0.00,      0.246,       2.46,
      11,         0.2500,      0.2500,   0.160,     0.03,     0.00,     0.00,     0.00,      0.246,      -0.01,
      12,         0.2750,      0.2750,   0.161,     0.04,     0.00,     0.00,     0.00,      0.246,      -0.02,
      13,         0.3000,      0.3000,   0.160,     0.04,     0.00,     0.00,     0.00,      0.245,      -0.01,
      14,         0.3250,      0.3250,   0.160,     0.02,     0.00,     0.00,     0.00,      0.245,      -0.01,
      15,         0.3500,      0.3500,   0.161,     0.03,     0.00,     0.00,     0.00,      0.245,      -0.02,
      16,         0.3750,      0.3750,   0.160,     0.03,     0.00,     0.00,     0.00,      0.245,      -0.01,
      17,         0.4000,      0.4000,   0.160,     0.05,     0.00,     0.00,     0.00,      0.244,      -0.02,
      18,         0.4250,      0.4250,   0.160,     0.05,     0.00,     0.00,     0.00,      0.244,      -0.02,
      19,         0.4500,      0.4500,   0.159,     0.04,     0.00,     0.00,     0.00,      0.244,      -0.01,
      20,         0.4750,      0.4750,   0.159,     0.01,     0.00,     0.00,     0.00,      0.243,      -0.02,
      21,         0.5000,      0.5000,   0.159,     0.01,     0.00,     0.00,     0.00,      0.243,      -0.01,
      22,         0.5250,      0.5250,   0.158,     0.05,     0.00,     0.00,     0.00,      0.243,      -0.01,
      23,         0.5500,      0.5500,   0.158,     0.01,     0.00,     0.00,     0.00,      0.242,      -0.01,
      24,         0.5750,      0.5750,   0.158,     0.03,     0.00,     0.00,     0.00,      0.241,      -0.02,
      25,         0.6000,      0.6000,   0.158,     0.04,     0.00,     0.00,     0.00,      0.241,      -0.02,
      26,         0.6250,      0.6250,   0.157,     0.03,     0.00,     0.00,     0.00,      0.240,      -0.00,
      27,         0.6500,      0.6500,   0.157,     0.03,     0.00,     0.00,     0.00,      0.240,      -0.02,
      28,         0.6750,      0.6750,   0.156,     0.02,     0.00,     0.00,     0.00,      0.239,      -0.00,
      29,         0.7000,      0.7000,   0.155,     0.01,     0.00,     0.00,     0.00,      0.238,       0.00,
      30,         0.7250,      0.7250,   0.155,     0.03,     0.00,     0.00,     0.00,      0.238,      -0.01,
      31,         0.7500,      0.7500,   0.155,     0.03,     0.00,     0.00,     0.00,      0.237,      -0.01,
      32,         0.7750,      0.7750,   0.154,     0.03,     0.00,     0.00,     0.00,      0.236,      -0.01,
      33,         0.8000,      0.8000,   0.153,     0.02,     0.00,     0.00,     0.00,      0.236,       0.00,
      34,         0.8250,      0.8250,   0.154,     0.03,     0.00,     0.00,     0.00,      0.235,      -0.02,
      35,         0.8500,      0.8500,   0.153,     0.03,     0.00,     0.00,     0.00,      0.234,      -0.01,
      36,         0.8750,      0.8750,   0.152,     0.01,     0.00,     0.00,     0.00,      0.233,      -0.01,
      37,         0.9000,      0.9000,   0.153,     0.03,     0.00,     0.00,     0.00,      0.232,      -0.02,
      38,         0.9250,      0.9250,   0.151,     0.06,     0.00,     0.00,     0.00,      0.231,      -0.01,
      39,         0.9500,      0.9500,   0.150,     0.04,     0.00,     0.00,     0.00,      0.230,      -0.00,
      40,         0.9750,      0.9750,   0.150,     0.02,     0.00,     0.00,     0.00,      0.229,      -0.01,
      41,         1.0000,      1.0000,   0.150,     0.03,     0.00,     0.00,     0.00,      0.228,      -0.02,
      42,         1.0250,      1.0250,   0.149,     0.02,     0.00,     0.00,     0.00,      0.227,      -0.02,
      43,         1.0500,      1.0500,   0.148,     0.02,     0.00,     0.00,     0.00,      0.226,      -0.02,
      44,         1.0750,      1.0750,   0.148,     0.05,     0.00,     0.00,     0.00,      0.225,      -0.03,
      45,         1.1000,      1.1000,   0.147,     0.01,     0.00,     0.00,     0.00,      0.224,      -0.02,
      46,         1.1250,      1.1250,   0.146,     0.03,     0.00,     0.00,     0.00,      0.223,      -0.02,
      47,         1.1500,      1.1500,   0.145,     0.02,     0.00,     0.00,     0.00,      0.222,      -0.01,
      48,         1.1750,      1.1750,   0.144,     0.04,     0.00,     0.00,     0.00,      0.221,      -0.01,
      49,         1.2000,      1.2000,   0.144,     0.02,     0.00,     0.00,     0.00,      0.220,      -0.02,
      50,         1.2250,      1.2250,   0.143,     0.00,     0.00,     0.00,     0.00,      0.219,      -0.02,
      51,         1.2500,      1.2500,   0.142,     0.02,     0.00,     0.00,     0.00,      0.217,      -0.01,
      52,         1.2750,      1.2750,   0.142,     0.05,     0.00,     0.00,     0.00,      0.216,      -0.03,
      53,         1.3000,      1.3000,   0.140,     0.03,     0.00,     0.00,     0.00,      0.215,      -0.01,
      54,         1.3250,      1.3250,   0.140,     0.03,     0.00,     0.00,     0.00,      0.213,      -0.02,
      55,         1.3500,      1.3500,   0.140,     0.01,     0.00,     0.00,     0.00,      0.212,      -0.03,
      56,         1.3750,      1.3750,   0.138,     0.01,     0.00,     0.00,     0.00,      0.211,      -0.02,
      57,         1.4000,      1.4000,   0.137,     0.02,     0.00,     0.00,     0.00,      0.209,      -0.02,
      58,         1.4250,      1.4250,   0.137,     0.04,     0.00,     0.00,     0.00,      0.208,      -0.03,
      59,         1.4500,      1.4500,   0.136,     0.03,     0.00,     0.00,     0.00,      0.207,      -0.03,
      60,         1.4750,      1.4750,   0.134,     0.03,     0.00,     0.00,     0.00,      0.205,      -0.02,
      61,         1.5000,      1.5000,   0.134,     0.02,     0.00,     0.00,     0.00,      0.204,      -0.03,
      62,         1.5250,      1.5250,   0.133,     0.03,     0.00,     0.00,     0.00,      0.202,      -0.03,
      63,         1.5500,      1.5500,   0.133,     0.04,     0.00,     0.00,     0.00,      0.201,      -0.03,
      64,         1.5750,      1.5750,   0.131,     0.04,     0.00,     0.00,     0.00,      0.199,      -0.03,
      65,         1.6000,      1.6000,   0.130,     0.03,     0.00,     0.00,     0.00,      0.197,      -0.02,
      66,         1.6250,      1.6250,   0.129,     0.01,     0.00,     0.00,     0.00,      0.196,      -0.02,
      67,         1.6500,      1.6500,   0.128,     0.02,     0.00,     0.00,     0.00,      0.194,      -0.02,
      68,         1.6750,      1.6750,   0.126,     0.02,     0.00,     0.00,     0.00,      0.193,      -0.01,
      69,         1.7000,      1.7000,   0.126,     0.02,     0.00,     0.00,     0.00,      0.191,      -0.02,
      70,         1.7250,      1.7250,   0.125,     0.04,     0.00,     0.00,     0.00,      0.190,      -0.03,
      71,         1.7500,      1.7500,   0.124,     0.02,     0.00,     0.00,     0.00,      0.188,      -0.02,
      72,         1.7750,      1.7750,   0.124,     0.02,     0.00,     0.00,     0.00,      0.186,      -0.05,
      73,         1.8000,      1.8000,   0.122,     0.04,     0.00,     0.00,     0.00,      0.185,      -0.03,
      74,         1.8250,      1.8250,   0.119,     0.04,     0.00,     0.00,     0.00,      0.183,      -0.01,
      75,         1.8500,      1.8500,   0.120,     0.03,     0.00,     0.00,     0.00,      0.181,      -0.03,
      76,         1.8750,      1.8750,   0.118,     0.05,     0.00,     0.00,     0.00,      0.180,      -0.02,
      77,         1.9000,      1.9000,   0.116,     0.03,     0.00,     0.00,     0.00,      0.178,      -0.01,
      78,         1.9250,      1.9250,   0.117,     0.03,     0.00,     0.00,     0.00,      0.176,      -0.03,
      79,         1.9500,      1.9500,   0.114,     0.01,     0.00,     0.00,     0.00,      0.174,      -0.01,
      80,         1.9750,      1.9750,   0.115,     0.01,     0.00,     0.00,     0.00,      0.173,      -0.04,
      81,         2.0000,      2.0000,   0.112,     0.04,     0.00,     0.00,     0.00,      0.171,      -0.02,
      82,         2.0250,      2.0250,   0.111,     0.02,     0.00,     0.00,     0.00,      0.169,      -0.02,
      83,         2.0500,      2.0500,   0.111,     0.03,     0.00,     0.00,     0.00,      0.167,      -0.03,
      84,         2.0750,      2.0750,   0.109,     0.01,     0.00,     0.00,     0.00,      0.165,      -0.02,
      85,         2.1000,      2.1000,   0.108,     0.03,     0.00,     0.00,     0.00,      0.164,      -0.02,
      86,         2.1250,      2.1250,   0.107,     0.05,     0.00,     0.00,     0.00,      0.162,      -0.03,
      87,         2.1500,      2.1500,   0.105,     0.04,     0.00,     0.00,     0.00,      0.160,      -0.02,
      88,         2.1750,      2.1750,   0.104,     0.04,     0.00,     0.00,     0.00,      0.158,      -0.02,
      89,         2.2000,      2.2000,   0.103,     0.05,     0.00,     0.00,     0.00,      0.156,      -0.02,
      90,         2.2250,      2.2250,   0.101,     0.02,     0.00,     0.00,     0.00,      0.154,      -0.01,
      91,         2.2500,      2.2500,   0.101,     0.03,     0.00,     0.00,     0.00,      0.153,      -0.02,
      92,         2.2750,      2.2750,   0.100,     0.03,     0.00,     0.00,     0.00,      0.151,      -0.02,
      93,         2.3000,      2.3000,   0.099,     0.03,     0.00,     0.00,     0.00,      0.149,      -0.03,
      94,         2.3250,      2.3250,   0.097,     0.03,     0.00,     0.00,     0.00,      0.147,      -0.03,
      95,         2.3500,      2.3500,   0.095,     0.01,     0.00,     0.00,     0.00,      0.145,      -0.02,
      96,         2.3750,      2.3750,   0.094,     0.03,     0.00,     0.00,     0.00,      0.143,      -0.02,
      97,         2.4000,      2.4000,   0.094,     0.01,     0.00,     0.00,     0.00,      0.141,      -0.03,
      98,         2.4250,      2.4250,   0.092,     0.04,     0.00,     0.00,     0.00,      0.139,      -0.02,
      99,         2.4500,      2.4500,   0.090,     0.03,     0.00,     0.00,     0.00,      0.137,      -0.01,
     100,         2.4750,      2.4750,   0.089,     0.04,     0.00,     0.00,     0.00,      0.135,      -0.01,
     101,         2.5000,      2.5000,   0.088,     0.04,     0.00,     0.00,     0.00,      0.133,      -0.02,
     102,         2.5250,      2.5250,   0.086,     0.04,     0.00,     0.00,     0.00,      0.132,      -0.01,
     103,         2.5500,      2.5500,   0.085,     0.02,     0.00,     0.00,     0.00,      0.129,      -0.01,
     104,         2.5750,      2.5750,   0.084,     0.04,     0.00,     0.00,     0.00,      0.128,      -0.02,
     105,         2.6000,      2.6000,   0.084,     0.04,     0.00,     0.00,     0.00,      0.126,      -0.03,
     106,         2.6250,      2.6250,   0.082,     0.03,     0.00,     0.00,     0.00,      0.124,      -0.02,
     107,         2.6500,      2.6500,   0.082,     0.02,     0.00,     0.00,     0.00,      0.122,      -0.04,
     108,         2.6750,      2.6750,   0.079,     0.02,     0.00,     0.00,     0.00,      0.120,      -0.01,
     109,         2.7000,      2.7000,   0.078,     0.03,     0.00,     0.00,     0.00,      0.118,      -0.02,
     110,         2.7250,      2.7250,   0.077,     0.04,     0.00,     0.00,     0.00,      0.116,      -0.02,
     111,         2.7500,      2.7500,   0.076,     0.02,     0.00,     0.00,     0.00,      0.114,      -0.02,
     112,         2.7750,      2.7750,   0.074,     0.04,     0.00,     0.00,     0.00,      0.112,      -0.01,
     113,         2.8000,      2.8000,   0.073,     0.03,     0.00,     0.00,     0.00,      0.110,      -0.02,
     114,         2.8250,      2.8250,   0.073,     0.01,     0.00,     0.00,     0.00,      0.109,      -0.04,
     115,         2.8500,      2.8500,   0.071,     0.02,     0.00,     0.00,     0.00,      0.107,      -0.02,
     116,         2.8750,      2.8750,   0.069,     0.03,     0.00,     0.00,     0.00,      0.105,      -0.02,
     117,         2.9000,      2.9000,   0.068,     0.03,     0.00,     0.00,     0.00,      0.103,      -0.01,
     118,         2.9250,      2.9250,   0.067,     0.05,     0.00,     0.00,     0.00,      0.101,      -0.02,
     119,         2.9500,      2.9500,   0.065,     0.02,     0.00,     0.00,     0.00,      0.099,      -0.02,
     120,         2.9750,      2.9750,   0.064,     0.03,     0.00,     0.00,     0.00,      0.097,      -0.01,
     121,         3.0000,      3.0000,   0.063,     0.03,     0.00,     0.00,     0.00,      0.095,      -0.02,
     122,         3.0250,      3.0250,   0.062,     0.03,     0.00,     0.00,     0.00,      0.093,      -0.02,
     123,         3.0500,      3.0500,   0.061,     0.03,     0.00,     0.00,     0.00,      0.092,      -0.02,
     124,         3.0750,      3.0750,   0.060,     0.02,     0.00,     0.00,     0.00,      0.090,      -0.02,
     125,         3.1000,      3.1000,   0.059,     0.02,     0.00,     0.00,     0.00,      0.088,      -0.03,
     126,         3.1250,      3.1250,   0.057,     0.03,     0.00,     0.00,     0.00,      0.086,      -0.02,
     127,         3.1500,      3.1500,   0.056,     0.00,     0.00,     0.00,     0.00,      0.084,      -0.02,
     128,         3.1750,      3.1750,   0.055,     0.03,     0.00,     0.00,     0.00,      0.082,      -0.02,
     129,         3.2000,      3.2000,   0.053,     0.04,     0.00,     0.00,     0.00,      0.080,      -0.02,
     130,         3.2250,      3.2250,   0.052,     0.01,     0.00,     0.00,     0.00,      0.079,      -0.01,
     131,         3.2500,      3.2500,   0.052,     0.02,     0.00,     0.00,     0.00,      0.077,      -0.03,
     132,         3.2750,      3.2750,   0.050,     0.03,     0.00,     0.00,     0.00,      0.075,      -0.02,
     133,         3.3000,      3.3000,   0.048,     0.03,     0.00,     0.00,     0.00,      0.073,      -0.01,
     134,         3.3250,      3.3250,   0.047,     0.02,     0.00,     0.00,     0.00,      0.071,      -0.01,
     135,         3.3500,      3.3500,   0.046,     0.01,     0.00,     0.00,     0.00,      0.070,      -0.01,
     136,         3.3750,      3.3750,   0.046,     0.03,     0.00,     0.00,     0.00,      0.068,      -0.02,
     137,         3.4000,      3.4000,   0.044,     0.05,     0.00,     0.00,     0.00,      0.066,      -0.02,
     138,         3.4250,      3.4250,   0.043,     0.03,     0.00,     0.00,     0.00,      0.064,      -0.02,
     139,         3.4500,      3.4500,   0.042,     0.01,     0.00,     0.00,     0.00,      0.063,      -0.02,
     140,         3.4750,      3.4750,   0.040,     0.01,     0.00,     0.00,     0.00,      0.061,      -0.01,
     141,         3.5000,      3.5000,   0.040,     0.02,     0.00,     0.00,     0.00,      0.060,      -0.02,
     142,         3.5250,      3.5250,   0.037,     0.03,     0.00,     0.00,     0.00,      0.058,       0.00,
     143,         3.5500,      3.5500,   0.037,     0.03,     0.00,     0.00,     0.00,      0.056,      -0.01,
     144,         3.5750,      3.5750,   0.037,     0.03,     0.00,     0.00,     0.00,      0.055,      -0.02,
     145,         3.6000,      3.6000,   0.035,     0.05,     0.00,     0.00,     0.00,      0.053,      -0.01,
     146,         3.6250,      3.6250,   0.035,     0.04,     0.00,     0.00,     0.00,      0.051,      -0.02,
     147,         3.6500,      3.6500,   0.033,     0.03,     0.00,     0.00,     0.00,      0.050,      -0.01,
     148,         3.6750,      3.6750,   0.033,     0.01,     0.00,     0.00,     0.00,      0.048,      -0.02,
     149,         3.7000,      3.7000,   0.032,     0.04,     0.00,     0.00,     0.00,      0.047,      -0.02,
     150,         3.7250,      3.7250,   0.031,     0.05,     0.00,     0.00,     0.00,      0.045,      -0.02,
     151,         3.7500,      3.7500,   0.029,     0.03,     0.00,     0.00,     0.00,      0.044,      -0.02,
     152,         3.7750,      3.7750,   0.029,     0.02,     0.00,     0.00,     0.00,      0.042,      -0.02,
     153,         3.8000,      3.8000,   0.027,     0.03,     0.00,     0.00,     0.00,      0.041,      -0.01,
     154,         3.8250,      3.8250,   0.027,     0.03,     0.00,     0.00,     0.00,      0.039,      -0.02,
     155,         3.8500,      3.8500,   0.026,     0.02,     0.00,     0.00,     0.00,      0.038,      -0.02,
     156,         3.8750,      3.8750,   0.024,     0.04,     0.00,     0.00,     0.00,      0.037,      -0.01,
     157,         3.9000,      3.9000,   0.023,     0.03,     0.00,     0.00,     0.00,      0.035,      -0.01,
     158,         3.9250,      3.9250,   0.023,     0.03,     0.00,     0.00,     0.00,      0.034,      -0.02,
     159,         3.9500,      3.9500,   0.022,     0.03,     0.00,     0.00,     0.00,      0.033,      -0.02,
     160,         3.9750,      3.9750,   0.021,     0.03,     0.00,     0.00,     0.00,      0.031,      -0.01,
     161,         4.0000,      4.0000,   0.020,     0.03,     0.00,     0.00,     0.00,      0.030,      -0.00,
     162,         4.0250,      4.0250,   0.020,     0.03,     0.00,     0.00,     0.00,      0.029,      -0.02,
     163,         4.0500,      4.0500,   0.019,     0.04,     0.00,     0.00,     0.00,      0.027,      -0.02,
     164,         4.0750,      4.0750,   0.018,     0.01,     0.00,     0.00,     0.00,      0.026,      -0.02,
     165,         4.1000,      4.1000,   0.017,     0.04,     0.00,     0.00,     0.00,      0.025,      -0.01,
     166,         4.1250,      4.1250,   0.016,     0.01,     0.00,     0.00,     0.00,      0.024,      -0.01,
     167,         4.1500,      4.1500,   0.015,     0.01,     0.00,     0.00,     0.00,      0.023,      -0.01,
     168,         4.1750,      4.1750,   0.015,     0.03,     0.00,     0.00,     0.00,      0.022,      -0.02,
     169,         4.2000,      4.2000,   0.014,     0.02,     0.00,     0.00,     0.00,      0.020,      -0.02,
     170,         4.2250,      4.2250,   0.012,     0.04,     0.00,     0.00,     0.00,      0.020,       0.00,
     171,         4.2500,      4.2500,   0.013,     0.03,     0.00,     0.00,     0.00,      0.019,      -0.01,
     172,         4.2750,      4.2750,   0.012,     0.03,     0.00,     0.00,     0.00,      0.017,      -0.01,
     173,         4.3000,      4.3000,   0.011,     0.03,     0.00,     0.00,     0.00,      0.016,      -0.00,
     174,         4.3250,      4.3250,   0.010,     0.02,     0.00,     0.00,     0.00,      0.016,       0.00,
     175,         4.3500,      4.3500,   0.010,     0.02,     0.00,     0.00,     0.00,      0.015,      -0.00,
     176,         4.3750,      4.3750,   0.010,     0.03,     0.00,     0.00,     0.00,      0.014,      -0.01,
     177,         4.4000,      4.4000,   0.008,     0.01,     0.00,     0.00,     0.00,      0.013,       0.00,
     178,         4.4250,      4.4250,   0.008,     0.00,     0.00,     0.00,     0.00,      0.012,      -0.00,
     179,         4.4500,      4.4500,   0.008,     0.01,     0.00,     0.00,     0.00,      0.011,      -0.01,
     180,         4.4750,      4.4750,   0.007,     0.02,     0.00,     0.00,     0.00,      0.010,       0.00,
     181,         4.5000,      4.5000,   0.007,     0.05,     0.00,     0.00,     0.00,      0.009,      -0.01,
     182,         4.5250,      4.5250,   0.006,     0.04,     0.00,     0.00,     0.00,      0.009,      -0.01,
     183,         4.5500,      4.5500,   0.005,     0.04,     0.00,     0.00,     0.00,      0.008,       0.00,
     184,         4.5750,      4.5750,   0.005,     0.01,     0.00,     0.00,     0.00,      0.007,      -0.01,
     185,         4.6000,      4.6000,   0.005,     0.03,     0.00,     0.00,     0.00,      0.007,      -0.01,
     186,         4.6250,      4.6250,   0.005,     0.04,     0.00,     0.00,     0.00,      0.006,      -0.02,
     187,         4.6500,      4.6500,   0.004,     0.05,     0.00,     0.00,     0.00,      0.005,      -0.01,
     188,         4.6750,      4.6750,   0.003,     0.03,     0.00,     0.00,     0.00,      0.005,       0.01,
     189,         4.7000,      4.7000,   0.003,     0.04,     0.00,     0.00,     0.00,      0.005,       0.00,
     190,         4.7250,      4.7250,   0.002,     0.01,     0.00,     0.00,     0.00,      0.004,       0.00,
     191,         4.7500,      4.7500,   0.003,     0.00,     0.00,     0.00,     0.00,      0.003,      -0.02,
     192,         4.7750,      4.7750,   0.002,     0.02,     0.00,     0.00,     0.00,      0.003,      -0.00,
     193,         4.8000,      4.8000,   0.002,     0.01,     0.00,     0.00,     0.00,      0.003,      -0.00,
     194,         4.8250,      4.8250,   0.002,     0.01,     0.00,     0.00,     0.00,      0.002,      -0.01,
     195,         4.8500,      4.8500,   0.002,     0.03,     0.00,     0.00,     0.00,      0.002,      -0.01,
     196,         4.8750,      4.8750,   0.001,     0.03,     0.00,     0.00,     0.00,      0.002,       0.00,
     197,         4.9000,      4.9000,   0.001,     0.03,     0.00,     0.00,     0.00,      0.001,      -0.01,
     198,         4.9250,      4.9250,   0.001,     0.03,     0.00,     0.00,     0.00,      0.001,      -0.00,
     199,         4.9500,      4.9500,   0.001,     0.00,     0.00,     0.00,     0.00,      0.001,      -0.01,
     200,         4.9750,      4.9750,   0.000,     0.03,     0.00,     0.00,     0.00,      0.001,       0.01,
     201,         5.0000,      5.0000,   0.000,     0.03,     0.00,     0.00,     0.00,      0.000,       0.00,
     202,         5.0250,      5.0250,   0.000,     0.00,     0.00,     0.00,     0.00,      0.000,      -0.01,
     203,         5.0500,      5.0500,   0.000,     0.00,     0.00,     0.00,     0.00,      0.000,      -0.01,
     204,         5.0750,      5.0750,   0.000,     0.03,     0.00,     0.00,     0.00,      0.000,      -0.00,
